trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
3786020,12,4,"Oakland Amtrak at Jack London Square",,0,12004,shp-12-07,0,0
4202010,12,5,"Oakland Amtrak at Jack London Square",,0,12006,shp-12-07,0,0
6071020,12,4,"Oakland Amtrak at Jack London Square",,0,12005,shp-12-07,0,0
12654010,12,5,"Oakland Amtrak at Jack London Square",,0,12005,shp-12-07,0,0
2371070,12,6,"Oakland Amtrak at Jack London Square",,0,12005,shp-12-07,0,0
4307020,12,4,"Oakland Amtrak at Jack London Square",,0,12007,shp-12-07,0,0
6290010,12,5,"Oakland Amtrak at Jack London Square",,0,12001,shp-12-07,0,0
11480020,12,4,"Oakland Amtrak at Jack London Square",,0,12006,shp-12-07,0,0
9133020,12,4,"Oakland Amtrak at Jack London Square",,0,12006,shp-12-07,0,0
11885070,12,6,"Oakland Amtrak at Jack London Square",,0,12002,shp-12-07,0,0
2426020,12,4,"Oakland Amtrak at Jack London Square",,0,12006,shp-12-07,0,0
3756020,12,4,"Oakland Amtrak at Jack London Square",,0,12010,shp-12-07,0,0
956070,12,6,"Oakland Amtrak at Jack London Square",,0,12004,shp-12-07,0,0
10655020,12,4,"Oakland Amtrak at Jack London Square",,0,12009,shp-12-07,0,0
6879020,12,4,"Oakland Amtrak at Jack London Square",,0,12009,shp-12-07,0,0
7410020,12,4,"Oakland Amtrak at Jack London Square",,0,12006,shp-12-07,0,0
7616010,12,5,"Oakland Amtrak at Jack London Square",,0,12005,shp-12-07,0,0
6874010,12,5,"Oakland Amtrak at Jack London Square",,0,12002,shp-12-07,0,0
4239010,12,5,"Oakland Amtrak at Jack London Square",,0,12001,shp-12-07,0,0
11936010,12,5,"Oakland Amtrak at Jack London Square",,0,12004,shp-12-07,0,0
5406010,12,5,"Oakland Amtrak at Jack London Square",,0,12005,shp-12-07,0,0
7901070,12,6,"Oakland Amtrak at Jack London Square",,0,12004,shp-12-07,0,0
6735010,12,5,"Oakland Amtrak at Jack London Square",,0,12003,shp-12-07,0,0
3406020,12,4,"Oakland Amtrak at Jack London Square",,0,12004,shp-12-07,0,0
1683010,12,5,"Oakland Amtrak at Jack London Square",,0,12005,shp-12-07,0,0
9334020,12,4,"Oakland Amtrak at Jack London Square",,0,12005,shp-12-07,0,0
10509070,12,6,"Oakland Amtrak at Jack London Square",,0,12006,shp-12-07,0,0
12769010,12,5,"Oakland Amtrak at Jack London Square",,0,12002,shp-12-07,0,0
8499070,12,6,"Oakland Amtrak at Jack London Square",,0,12007,shp-12-07,0,0
13549070,12,6,"Oakland Amtrak at Jack London Square",,0,12003,shp-12-07,0,0
7806020,12,4,"Oakland Amtrak at Jack London Square",,0,12004,shp-12-07,0,0
